T,FC,x1,x2,x3,Target
1,2,11.3498662,8.343467796,6.021523895,1
2,8,6.829825289,6.100859536,4.755255208,1
3,2,6.32364317,5.594901188,2.585745284,1
4,3,5.584491076,5.852449414,7.127299966,1
5,2,2.038343975,7.167739366,5.312388459,1
6,5,4.451282784,8.001913557,3.764501379,1
7,6,6.842949613,7.173041657,7.908950791,1
8,3,6.661638793,6.380562832,8.850345447,1
9,2,4.399508244,4.184418716,3.011933458,1
10,3,5.302276188,6.722603158,7.651768561,1
1,4,7.71054785,5.483585452,3.991069835,1
2,5,2.252348424,3.556811134,6.083316213,1
3,0,2.463929353,2.499252428,3.062260364,1
4,3,7.137034401,7.236075173,8.139006755,1
5,1,2.308994491,7.012463726,7.803309708,1
6,4,6.301530059,5.341997281,4.18489984,1
7,6,4.524572872,7.145154688,3.89545721,1
8,2,5.283557265,3.917688968,4.453617951,1
9,2,5.796220118,4.058912982,7.150629316,1
10,2,4.284816302,9.424154003,8.348498281,1
1,7,7.836114874,6.319146563,8.408910084,1
2,6,5.788212219,7.176199666,5.646163082,1
3,2,4.695962123,3.200409558,7.059482629,1
4,3,6.733544678,7.580342513,6.06704068,1
5,8,7.869127175,10.20015874,5.443917773,1
6,2,3.11614691,6.153093412,5.325663983,1
7,3,7.595789791,3.346831578,6.08947769,1
8,0,6.041516138,2.702584164,6.023843671,1
9,5,6.55528442,6.678431324,11.44670701,1
10,1,8.539774585,7.066030316,7.689413266,1
1,4,8.787890171,7.829599021,8.672905196,1
2,5,5.219173005,4.382819491,2.730114972,1
3,5,7.037759741,3.801976939,2.328159955,1
4,7,3.590434529,7.437633708,5.115430361,1
5,3,7.105436513,3.657595524,6.092258971,1
6,3,4.118050598,5.145167813,6.009513522,1
7,4,8.252612622,6.071822225,6.20645288,1
8,3,7.080764213,7.769144235,8.529128951,1
9,1,2.882104909,4.052056199,7.327961656,1
10,1,6.639078957,4.940644654,2.032704607,1
1,13,5.218661413,5.196130107,7.008078425,1
2,5,6.269515061,2.233407709,2.656819831,1
3,7,8.37349598,3.065943409,7.584878099,1
4,2,6.450679173,4.442853614,2.919840411,1
5,1,5.26813482,6.136930721,4.258315511,1
6,6,7.596821165,4.351807897,7.810506501,1
7,6,8.511385745,7.224421937,7.017150424,1
8,4,2.640321092,6.276114684,5.811455169,1
9,3,3.150848798,6.583680019,3.959356289,1
10,2,2.40580903,6.376595181,3.35519508,1
1,1,8.32169964,5.344796727,4.217011551,1
2,2,4.732490642,3.121333235,3.855178892,1
3,2,4.271012322,2.77057398,6.246337436,1
4,2,3.857756648,5.00859839,7.363347242,1
5,2,3.282433705,6.245426425,4.969834564,1
6,3,8.212456904,6.134034199,2.851929673,1
7,1,7.673451526,3.034264318,2.437764104,1
8,1,7.872982296,7.391903274,6.457007192,1
9,4,6.136894666,4.167081507,7.74398767,1
10,3,6.076899403,4.607496479,5.586474915,1
1,1,5.211744253,7.333457918,8.238772477,1
2,4,2.026878499,3.499276759,6.158676037,1
3,6,3.02644482,5.030584049,4.575898795,1
4,7,8.247059973,7.268977903,6.455394787,1
